customer_sk,first_name,last_name,gender,Loyality,Age
1,William,Anderson,Male,Gold,35
2,James,King,Male,Silver,37
3,Jacob,King,Male,Bronze,35
4,Susan,Rivera,Female,Silver,33
5,James,Turner,Male,Silver,36
6,Sandra,Anderson,Female,Platinum,35
7,Margaret,Collins,Female,Gold,22
8,Donald,Brown,Male,Platinum,27
9,Jessica,Clark,Female,Silver,25
10,Kathleen,Gonzales,Female,Gold,48
11,Scott,Rodriguez,Male,Silver,31
12,Laura,Lee,Female,Bronze,67
13,Christopher,Roberts,Male,Bronze,30
14,Patricia,Wright,Female,Gold,30
15,Joshua,Ramirez,Male,Bronze,35
16,Margaret,Moore,Female,Gold,25
17,Linda,Perez,Female,None,29
18,Jonathan,Campbell,Male,Gold,26
19,Matthew,Cruz,Male,Gold,19
20,Joseph,Perez,Male,Silver,40
21,Paul,Parker,Male,Bronze,51
22,Richard,Brown,Male,Bronze,66
23,Jessica,Thomas,Female,Bronze,54
24,David,Carter,Male,Bronze,40
25,Richard,Garcia,Male,Bronze,23
26,Karen,Johnson,Female,Bronze,22
27,Linda,Hall,Female,Bronze,37
28,Cynthia,Evans,Female,Silver,24
29,Ronald,Perez,Male,Gold,42
30,Benjamin,Rivera,Male,Bronze,31
31,Andrew,Hill,Male,Silver,49
32,Benjamin,Martin,Male,Platinum,38
33,Jonathan,Mitchell,Male,Silver,41
34,Cynthia,Diaz,Female,Silver,37
35,Anthony,Carter,Male,Platinum,18
36,Nicole,Wilson,Female,Silver,32
37,Gary,Harris,Male,Bronze,37
38,Kevin,Young,Male,Silver,39
39,Paul,King,Male,Silver,29
40,Stephanie,Clark,Female,Silver,22
41,Deborah,Williams,Female,Bronze,28
42,Melissa,Torres,Female,Silver,23
43,Ryan,Johnson,Male,Platinum,71
44,Jennifer,Smith,Female,Bronze,53
45,Donald,Miller,Male,Bronze,54
46,Melissa,Rodriguez,Female,Silver,26
47,Kathleen,Moore,Female,Bronze,53
48,Laura,Rodriguez,Female,Platinum,30
49,Jennifer,Torres,Female,Platinum,43
50,George,Hall,Male,Bronze,35
51,Nancy,Thompson,Female,Gold,45
52,Jessica,Jackson,Female,Gold,39
53,Thomas,Carter,Male,Gold,44
54,Betty,Torres,Female,Silver,22
55,Laura,Parker,Female,Bronze,47
56,Ronald,Thompson,Male,Bronze,25
57,Larry,Wright,Male,Gold,29
58,Edward,Sanchez,Male,Silver,32
59,Amanda,Nguyen,Female,Silver,36
60,Eric,Smith,Male,Gold,50
61,Mark,King,Male,Bronze,32
62,Eric,Parker,Male,Bronze,33
63,Shirley,Martin,Female,Bronze,41
64,Kevin,Miller,Male,Gold,26
65,George,Anderson,Male,Bronze,21
66,Brenda,Phillips,Female,Bronze,19
67,Ryan,Edwards,Male,Bronze,18
68,Ryan,Parker,Male,Platinum,85
69,Dorothy,Roberts,Female,Gold,47
70,Shirley,Taylor,Female,Bronze,27
71,Steven,Brown,Male,Silver,42
72,Thomas,Davis,Male,Bronze,39
73,Sarah,Roberts,Female,Gold,35
74,James,Adams,Male,Bronze,40
75,Scott,Baker,Male,Bronze,34
76,Lisa,King,Female,Gold,72
77,Jonathan,Nelson,Male,None,51
78,Jeffrey,Phillips,Male,Bronze,38
79,Joshua,Martin,Male,Silver,53
80,Jennifer,Smith,Female,Bronze,18
81,Margaret,Davis,Female,Platinum,25
82,Steven,Martin,Male,Gold,25
83,Barbara,Phillips,Female,Silver,40
84,Shirley,Baker,Female,Platinum,39
85,Larry,Baker,Male,Bronze,30
86,Susan,Nelson,Female,Gold,69
87,Brenda,Rodriguez,Female,Gold,27
88,Samantha,Lewis,Female,Silver,50
89,Paul,Johnson,Male,Bronze,19
90,Ronald,Hall,Male,Silver,26
91,Paul,Nelson,Male,Silver,22
92,Nancy,Miller,Female,Silver,32
93,Rebecca,Torres,Female,Platinum,35
94,Linda,Phillips,Female,Silver,49
95,Emily,Turner,Female,Bronze,40
96,Deborah,Scott,Female,Gold,21
97,Ryan,Walker,Male,Gold,25
98,Anna,Miller,Female,None,28
99,Sarah,Hall,Female,Silver,22
100,Melissa,Green,Female,Silver,37
101,Emily,Nelson,Female,Gold,32
102,Michelle,Robinson,Female,Bronze,39
103,Anthony,Robinson,Male,Platinum,45
104,Ashley,Clark,Female,Bronze,30
105,Donald,Evans,Male,Platinum,19
106,Nicole,Harris,Female,Gold,31
107,Laura,Robinson,Female,Platinum,59
108,John,Wilson,Male,Bronze,40
109,Kimberly,Carter,Female,Gold,25
110,Sandra,Walker,Female,Bronze,38
111,Eric,Reyes,Male,Bronze,21
112,Amanda,Turner,Female,Gold,23
113,Karen,Hall,Female,Gold,30
114,Brian,Harris,Male,Silver,24
115,Amy,Anderson,Female,Silver,24
116,Justin,Moore,Male,Gold,34
117,Larry,Turner,Male,Silver,25
118,Donna,White,Female,Bronze,26
119,Benjamin,Adams,Male,Platinum,36
120,Brian,Martinez,Male,Gold,28
121,Susan,Mitchell,Female,Bronze,25
122,Angela,Diaz,Female,Gold,43
123,Andrew,Lewis,Male,Silver,18
124,Paul,Torres,Male,Silver,42
125,Jonathan,King,Male,Silver,46
126,Jessica,Hernandez,Female,Gold,48
127,Donna,Nelson,Female,Bronze,32
128,James,Hernandez,Male,Bronze,35
129,Christopher,Campbell,Male,Gold,23
130,Ryan,Cruz,Male,Silver,19
131,Patricia,Lee,Female,Gold,18
132,Stephanie,Garcia,Female,Bronze,45
133,Timothy,King,Male,Bronze,38
134,Kathleen,Jones,Female,Silver,47
135,Jonathan,Brown,Male,Silver,40
136,Emily,Roberts,Female,Gold,20
137,John,Clark,Male,Bronze,47
138,Pamela,Smith,Female,Gold,42
139,George,Robinson,Male,Platinum,33
140,Elizabeth,Gomez,Female,Gold,34
141,Andrew,Hernandez,Male,Silver,33
142,Amanda,Flores,Female,Bronze,25
143,Robert,Reyes,Male,Bronze,45
144,Elizabeth,Wright,Female,Platinum,58
145,Brian,Wilson,Male,Silver,31
146,Donna,Wilson,Female,Gold,35
147,Brenda,Miller,Female,Bronze,30
148,Jennifer,Baker,Female,Silver,53
149,Linda,Perez,Female,Bronze,42
150,Andrew,Rivera,Male,Silver,28
151,Amanda,Allen,Female,Bronze,32
152,Pamela,Martinez,Female,Silver,31
153,Nicholas,Miller,Male,Bronze,49
154,Lisa,Davis,Female,Platinum,36
155,Nicole,Moore,Female,Gold,37
156,Patricia,Miller,Female,Gold,33
157,Sharon,Thompson,Female,Gold,43
158,Paul,Allen,Male,Silver,23
159,Gary,Scott,Male,None,34
160,Andrew,Rivera,Male,Gold,37
161,Kathleen,Baker,Female,Bronze,33
162,Justin,King,Male,Platinum,83
163,Jessica,Hall,Female,Gold,27
164,Joshua,Edwards,Male,Gold,39
165,Nicholas,Williams,Male,Platinum,19
166,William,Rodriguez,Male,Silver,53
167,Patricia,Roberts,Female,Silver,73
168,Robert,Brown,Male,Bronze,19
169,James,Parker,Male,Silver,39
170,Stephanie,Moore,Female,Platinum,29
171,Amanda,Nguyen,Female,Bronze,37
172,Amanda,Perez,Female,Gold,39
173,Emma,Lee,Female,Bronze,22
174,Christopher,White,Male,Bronze,40
175,Joshua,Green,Male,Bronze,18
176,David,Wilson,Male,Silver,34
177,Elizabeth,Allen,Female,Silver,51
178,Pamela,Edwards,Female,Gold,42
179,Mark,Hernandez,Male,Bronze,40
180,Charles,Thomas,Male,Bronze,21
181,Robert,Thomas,Male,Gold,37
182,Robert,Clark,Male,Gold,67
183,Thomas,Hernandez,Male,Bronze,35
184,Joseph,Garcia,Male,Gold,31
185,Stephen,Allen,Male,Silver,40
186,Emma,Torres,Female,Gold,41
187,Jacob,Cruz,Male,Gold,42
188,Benjamin,Carter,Male,Bronze,20
189,Emily,Green,Female,Platinum,44
190,Rebecca,Walker,Female,Gold,22
191,Brenda,Parker,Female,Silver,34
192,Carol,Reyes,Female,Silver,21
193,Melissa,Flores,Female,Bronze,35
194,Amy,Thomas,Female,Gold,33
195,John,Scott,Male,Platinum,33
196,Donald,Carter,Male,Silver,41
197,Brenda,Wright,Female,Gold,34
198,Deborah,Brown,Female,Gold,68
199,Paul,Hernandez,Male,Silver,23
200,George,Phillips,Male,Silver,18
201,Cynthia,Lee,Female,Platinum,43
202,Scott,Jackson,Male,Silver,40
203,Betty,Miller,Female,Bronze,60
204,Joshua,Lopez,Male,Bronze,44
205,Benjamin,Allen,Male,Silver,47
206,Edward,Harris,Male,Gold,25
207,Thomas,Thomas,Male,Bronze,21
